Rank,State,Total_Energy_Consumed_Gwh,Total Renewable,Energy Difference
1,Louisiana,1297337.8752,5887841.0,4590503.1248
2,Wyoming,148276.20105,13872718.0,13724441.79895
3,North Dakota,184273.06788,13143896.0,12959622.93212
4,Alaska,175790.47043999998,9696261.0,9520470.52956
5,Iowa,453979.8968,9391618.0,8937638.1032
6,Texas,3928708.5436,71862422.0,67933713.4564
7,Nebraska,255685.88803999996,18091386.0,17835700.11196
8,South Dakota,112829.03415,15478679.0,15365849.96585
9,Oklahoma,477980.03638,16781864.0,16303883.96362
10,West Virginia,217855.57248,333358.0,115502.42752
11,Indiana,787901.71572,5824490.0,5036588.28428
12,Montana,122919.31155,14160930.0,14038010.68845
13,Mississippi,341240.91779999994,5602956.0,5261715.0822
14,Alabama,552818.2100999999,4310763.0,3757944.7899
15,Kentucky,482051.20775999996,2360183.0,1878131.79224
16,Kansas,311560.15005,26621685.0,26310124.84995
17,Arkansas,307651.256,5696882.0,5389230.744
18,Minnesota,535362.5883899999,12761911.0,12226548.41161
19,South Carolina,482127.76341,3720270.0,3238142.23659
20,New Mexico,198709.43724,36041138.0,35842428.56276
21,Tennessee,634146.8367,2738885.0,2104738.1633
22,Idaho,163807.94303999998,8546464.0,8382656.05696
23,Ohio,1057660.7121599999,4555781.0,3498120.2878400004
24,Wisconsin,526011.63264,6346907.0,5820895.36736
25,Illinois,1119558.6996,9653056.0,8533497.3004
26,Pennsylvania,1106786.1252,1012686.0,-94100.1251999999
27,Maine,114112.32503999998,2152076.0,2037963.67496
28,Missouri,502797.91563999996,6928121.0,6425323.08436
29,Washington,616260.63198,3089068.0,2472807.36802
30,Delaware,79095.24437999999,373788.0,294692.75562
31,Michigan,805870.6673,7644645.0,6838774.3327
32,Virginia,671874.9927999999,2602582.0,1930707.0072
33,Georgia,820624.24475,6159690.0,5339065.75525
34,Utah,244764.36015,11278730.0,11033965.63985
35,Colorado,431097.23915999994,21820810.0,21389712.76084
36,Oregon,302611.38573,8583368.0,8280756.61427
37,North Carolina,734744.9511999999,6041643.0,5306898.0488
38,District of Columbia,49094.57994999999,3260.0,-45834.57994999999
39,New Jersey,620032.992,969272.0,349239.00800000003
40,Nevada,209433.73584,18272527.0,18063093.26416
41,New Hampshire,92442.6127,191030.0,98587.3873
42,Maryland,382020.63195999997,924623.0,542602.3680400001
43,Vermont,39231.369360000004,103289.0,64057.630639999996
44,Arizona,434673.46405999997,25832806.0,25398132.53594
45,Massachusetts,416337.62768,1009137.0,592799.3723200001
46,Connecticut,210322.78855,118473.0,-91849.78855
47,Florida,1241537.65425,5697361.0,4455823.34575
48,California,2294308.61,21984734.0,19690425.39
49,Hawaii,81976.53560999999,2925605.0,2843628.46439
50,New York,1065441.23468,2642611.0,1577169.76532
51,Rhode Island,53352.1149,118543.0,65190.8851
